x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_input_throughput,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_input_throughput,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_input_throughput,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_input_throughput,slog_aborts
1.0,13.778,71.392,0.189,0.565,28.0,0.0,4.493,67.324,0.035,0.565,13.0,0.0,30.329,67.504,0.106,0.565,121.0,0.0,10.434,67.497,0.046,0.565,27.0,0.0
10.0,47.167,71.42,0.31,0.565,280.0,0.0,23.815,67.33,0.131,0.565,130.0,0.0,55.417,67.716,3.767,0.565,1210.0,0.0,47.099,67.593,0.487,0.565,270.0,0.0
100.0,67.798,71.672,2.281,0.565,2800.0,0.0,60.59,67.349,1.19,0.565,1300.0,0.0,62.944,68.113,2.016,0.565,12100.0,0.0,77.679,67.955,2.446,0.565,2700.0,0.0
250.0,70.234,72.299,3.817,0.565,7197.0,0.0,67.988,67.394,2.173,0.565,3478.0,0.0,67.008,68.665,3.709,0.565,30254.0,0.0,78.492,68.546,3.948,0.565,6792.0,0.0
500.0,71.036,72.877,4.05,0.565,14000.0,0.0,65.659,67.452,2.553,0.565,6500.0,0.0,63.798,69.2,5.298,0.565,60500.0,0.0,78.392,69.229,4.372,0.565,13500.0,0.0
750.0,72.415,73.36,4.569,0.565,21000.0,0.0,65.021,67.504,2.558,0.565,9750.0,0.0,65.73,69.751,2.861,0.565,90750.0,0.0,77.214,69.952,4.385,0.565,20250.0,0.0
1000.0,69.615,73.817,4.219,0.565,28000.0,0.0,64.146,67.558,2.581,0.565,13000.0,0.0,67.27,70.329,4.046,0.565,121000.0,0.0,77.355,70.602,4.435,0.565,27000.0,0.0
2500.0,67.075,74.306,4.784,0.565,70000.0,0.0,63.998,67.652,2.744,0.565,32500.0,0.0,65.578,70.866,2.945,0.565,302500.0,0.0,76.59,71.253,4.493,0.565,67500.0,0.0
5000.0,68.326,75.033,4.964,0.565,140000.0,0.0,66.496,67.77,2.928,0.565,65000.0,0.0,61.264,71.562,5.137,0.565,605000.0,0.0,72.995,72.307,4.326,0.565,135000.0,0.0
10000.0,66.87,75.936,4.621,0.565,287894.0,0.0,63.31,67.943,2.961,0.565,139121.0,0.0,66.071,72.482,6.742,0.565,1210190.0,0.0,70.368,73.153,4.265,0.565,271687.0,0.0
25000.0,67.481,76.8,4.531,0.565,719736.0,0.0,66.762,68.11,3.137,0.565,347803.0,0.0,64.477,73.292,3.514,0.565,3025476.0,0.0,68.913,73.899,4.402,0.565,679217.0,0.0
50000.0,57.955,78.605,4.252,0.565,1439473.0,0.0,64.061,68.249,3.045,0.565,695606.0,0.0,61.094,74.115,3.203,0.565,6050952.0,0.0,72.1,74.566,4.512,0.565,1358435.0,0.0
